OBJECTID,globalid,nhfr_uid,nhfr_facility_code,country,iso,state,lga,lga_name_disagreement,ward,ward_name_disagreement,facility_name,facility_name_source,ownership,ownership_type,facility_level,facility_level_option,latitude,longitude,geocoordinates_source,last_updated,x,y
3768,ae37e2b3-aba7-415e-9f3e-07786b8713bf,21117361.0,19/42/1/2/1/0003,Nigeria,NGA,Kano,Ungogo,0,Yadakunya,0,Yadakunya Leprosy General Hospital,NHFR_2024,Public,State Government,Secondary,General Hospital,12.0839139997,8.63161999998,GRID3_EHEALTH,2024-11-11,8.63162000000005,12.083914
4345,a4df570b-3847-4804-b003-76b63118d3d3,79025491.0,19/20/1/1/1/0005,Nigeria,NGA,Kano,Kabo,0,Dugabau,0,Dugabau Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,11.80271,8.207114,GRID3_EHEALTH,2024-11-11,8.20711400000005,11.80271
4346,f7f13dbc-3aa9-44a7-ab82-3c02acd49328,85019835.0,19/28/1/1/1/0030,Nigeria,NGA,Kano,Madobi,0,Kubarachi,1,Late Musa Saleh Kwankwaso Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,11.85154,8.39339,GRID3_EHEALTH,2024-11-11,8.39339000000007,11.8515400000001
4347,8aa79a78-d62c-4359-a8e7-6adf4a5eaeaf,21927961.0,19/35/1/1/1/0018,Nigeria,NGA,Kano,Shanono,0,Leni,1,Leni Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,12.00265,8.09711,GRID3_EHEALTH,2024-11-11,8.09711000000004,12.0026500000001
4348,48799221-012c-4427-9e10-8ddd5f053d46,36342440.0,19/04/1/1/1/0003,Nigeria,NGA,Kano,Bebeji,0,Rahama,0,Rahama (B) Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,11.427942,8.310408,GRID3_EHEALTH,2024-11-11,8.31040800000005,11.427942
4349,72f32874-0616-4216-b800-c1249be8897f,47773193.0,19/18/1/1/1/0005,Nigeria,NGA,Kano,Gezawa,0,Ketawa,0,Danja Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,12.04838,8.74363,NHFR_2024,2024-11-11,8.74363000000005,12.0483800000001
4350,e204a501-a815-4f04-8bf8-d3501fc0b66a,79498072.0,19/01/1/1/1/0002,Nigeria,NGA,Kano,Ajingi,0,Balare,0,Balare Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11.99149491,8.930938069,GRID3_EHEALTH,2024-11-11,8.93093806900004,11.99149491
4351,d7416eba-c0b5-4248-aa17-42f15f2ce73f,60315861.0,19/27/1/1/1/0005,Nigeria,NGA,Kano,Kura,0,Danhassan,0,Dan Hassan Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11.794182,8.516597,GRID3_EHEALTH,2024-11-11,8.51659700000005,11.794182
4352,046403e3-56d3-4eee-a342-6779bb7dd582,41268836.0,19/04/1/1/1/0016,Nigeria,NGA,Kano,Bebeji,0,Rahama,0,Rahama Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,11.408687,8.272289,GRID3_EHEALTH,2024-11-11,8.27228900000006,11.408687
4353,3e5cd8c3-7506-42c9-9e4e-1674f04415a5,86286149.0,19/12/1/1/1/0009,Nigeria,NGA,Kano,Fagge,0,Fagge D 1,0,Wapa Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,12.00878,8.5263,GRID3_EHEALTH,2024-11-11,8.52630000000005,12.0087800000001
